연번,설치주소,설치형태,등용량(W),데이터 기준일,위도,경도
1453,구로구 고척동 250-169,한전주,25,2025-11-28,37.5067275,126.8477350
1454,구로구 고척동 241-104,,25,2025-11-28,37.5065688,126.8475555
1455,구로구 고척동 241-108,통신주,25,2025-11-28,37.5063123,126.8476898
1456,구로구 고척동 241-11,한전주,50,2025-11-28,37.5073355,126.8481099
1457,구로구 고척동 241-112,한전주,50,2025-11-28,37.5059690,126.8480241
1458,구로구 고척동 241-119,,25,2025-11-28,37.5056812,126.8480169
1459,구로구 고척동 249-14,,50,2025-11-28,37.5050532,126.8481418
1460,구로구 고척동 241-141,,50,2025-11-28,37.5070871,126.8485747
1461,구로구 고척동 241-148,한전주,30,2025-11-28,37.5064845,126.8471656
1462,구로구 고척동 241-172,한전주,25,2025-11-28,37.5061877,126.8483875
1463,구로구 고척동 241-172,벽부형,25,2025-11-28,37.5061877,126.8483875
1464,구로구 고척동 241-16,통신주,50,2025-11-28,37.5066153,126.8482352
1465,구로구 고척동 249-161,,50,2025-11-28,37.5067432,126.8472223
1466,구로구 고척동 241-167,한전주,25,2025-11-28,37.5058448,126.8474822
1467,구로구 고척동 241-170,한전주,25,2025-11-28,37.5055126,126.8476897
1468,구로구 고척동 241-177,,50,2025-11-28,37.5066340,126.8493670
1469,구로구 고척동 241-193,한전주,25,2025-11-28,37.5065655,126.8494782
1470,구로구 고척동 241-187,한전주,25,2025-11-28,37.5065276,126.8496602
1471,구로구 고척동 산9-14,한전주,50,2025-11-28,37.5059304,126.8520060
1472,구로구 고척동 241-196,,50,2025-11-28,37.5063280,126.8495279
1473,구로구 고척동 241-2,통신주,50,2025-11-28,37.5077880,126.8491243
1474,구로구 오류동 254-4,한전주,,2025-11-28,37.4884845,126.8311727
1475,구로구 고척동 241-2,벽부형,70,2025-11-28,37.5077880,126.8491243
1476,구로구 고척동 241-2,벽부형,70,2025-11-28,37.5077880,126.8491243
1477,구로구 고척동 241-2,벽부형,70,2025-11-28,37.5077880,126.8491243
1478,구로구 고척동 241-2,벽부형,70,2025-11-28,37.5077880,126.8491243
1479,구로구 고척동 산8,폴형,50,2025-11-28,37.5092395,126.8501272
1480,구로구 고척동 241-200,벽부형,100,2025-11-28,37.5078223,126.8483831
1481,구로구 고척동 산8,폴형,100,2025-11-28,37.5092395,126.8501272
1482,구로구 고척동 241-200,벽부형,100,2025-11-28,37.5078223,126.8483831
1483,구로구 고척동 241-212,한전주,50,2025-11-28,37.5076232,126.8485375
1484,구로구 고척동 241-212,한전주,100,2025-11-28,37.5076232,126.8485375
1485,구로구 고척동 241-22,한전주,50,2025-11-28,37.5068303,126.8483714
1486,구로구 고척동 241-226,한전주,50,2025-11-28,37.5072748,126.8484691
1487,구로구 고척동 241-24,,50,2025-11-28,37.5067839,126.8487329
1488,구로구 고척동 241-172,한전주,25,2025-11-28,37.5061877,126.8483875
1489,구로구 고척동 241-172,한전주,25,2025-11-28,37.5061877,126.8483875
1490,구로구 고척동 241-27,한전주,50,2025-11-28,37.5070363,126.8490176
1491,구로구 고척동 241-270,,50,2025-11-28,37.5071284,126.8487305
1492,구로구 고척동 241-277,,25,2025-11-28,37.5069035,126.8492260
1493,구로구 고척동 241-172,한전주,25,2025-11-28,37.5061877,126.8483875
1494,구로구 고척동 241-290,한전주,25,2025-11-28,37.5061695,126.8498527
1495,구로구 고척동 241-300,한전주,50,2025-11-28,37.5065755,126.8485763
