관리부서,관리번호,사용목적,소재지지번주소,데이터기준일자,위도,경도
서울특별시 금천구청 도로과,가산동-2047,방범등,서울특별시 금천구 가산동 34-53,2025-06-17,37.4839469,126.8831328
서울특별시 금천구청 도로과,가산동-2048,방범등,서울특별시 금천구 가산동 34-74,2025-06-17,37.4838843,126.8834661
서울특별시 금천구청 도로과,가산동-2049,방범등,서울특별시 금천구 가산동 34-7,2025-06-17,37.4837054,126.8834011
서울특별시 금천구청 도로과,가산동-205,방범등,서울특별시 금천구 가산동 5-24,2025-06-17,37.4848901,126.8818618
서울특별시 금천구청 도로과,가산동-2050,방범등,서울특별시 금천구 가산동 34-8,2025-06-17,37.4836269,126.8833709
서울특별시 금천구청 도로과,가산동-2051,방범등,서울특별시 금천구 가산동 34-11,2025-06-17,37.4833742,126.8833230
서울특별시 금천구청 도로과,가산동-2052,방범등,서울특별시 금천구 가산동 34-20,2025-06-17,37.4832144,126.8831771
서울특별시 금천구청 도로과,가산동-2053,방범등,서울특별시 금천구 가산동 34-15,2025-06-17,37.4830479,126.8833574
서울특별시 금천구청 도로과,가산동-2054,방범등,서울특별시 금천구 가산동 38-4,2025-06-17,37.4828497,126.8832556
서울특별시 금천구청 도로과,가산동-2055,방범등,서울특별시 금천구 가산동 29-6,2025-06-17,37.4831598,126.8840815
서울특별시 금천구청 도로과,가산동-2056,방범등,서울특별시 금천구 가산동 29-15,2025-06-17,37.4832724,126.8835334
서울특별시 금천구청 도로과,가산동-2057,방범등,서울특별시 금천구 가산동 34-43,2025-06-17,37.4834006,126.8834285
서울특별시 금천구청 도로과,가산동-2058,방범등,서울특별시 금천구 가산동 34-41,2025-06-17,37.4835793,126.8834688
서울특별시 금천구청 도로과,가산동-2059,방범등,서울특별시 금천구 가산동 34-6,2025-06-17,37.4837925,126.8834914
서울특별시 금천구청 도로과,가산동-206,방범등,서울특별시 금천구 가산동 5-24,2025-06-17,37.4848901,126.8818618
서울특별시 금천구청 도로과,가산동-2060,방범등,서울특별시 금천구 가산동 29-21,2025-06-17,37.4836511,126.8837203
서울특별시 금천구청 도로과,가산동-2061,방범등,서울특별시 금천구 가산동 29-21,2025-06-17,37.4836511,126.8837203
서울특별시 금천구청 도로과,가산동-2062,방범등,서울특별시 금천구 가산동 29-16,2025-06-17,37.4832416,126.8836274
서울특별시 금천구청 도로과,가산동-2063,방범등,서울특별시 금천구 가산동 29-20,2025-06-17,37.4835764,126.8839088
서울특별시 금천구청 도로과,가산동-2064,방범등,서울특별시 금천구 가산동 29-32,2025-06-17,37.4834606,126.8840372
서울특별시 금천구청 도로과,가산동-2065,방범등,서울특별시 금천구 가산동 29-22,2025-06-17,37.4833429,126.8842290
서울특별시 금천구청 도로과,가산동-2066,방범등,서울특별시 금천구 가산동 602-69,2025-06-17,37.4829670,126.8839105
서울특별시 금천구청 도로과,가산동-2067,방범등,서울특별시 금천구 가산동 39-1,2025-06-17,37.4828888,126.8839362
서울특별시 금천구청 도로과,가산동-2068,방범등,서울특별시 금천구 가산동 40-5건너(골말공원),2025-06-17,37.4827687,126.8841249
서울특별시 금천구청 도로과,가산동-2069,방범등,서울특별시 금천구 가산동 602-71,2025-06-17,37.4827321,126.8843942
서울특별시 금천구청 도로과,가산동-207,방범등,서울특별시 금천구 가산동 6-4,2025-06-17,37.4847488,126.8819094
서울특별시 금천구청 도로과,가산동-2070,방범등,서울특별시 금천구 가산동 602-71,2025-06-17,37.4827321,126.8843942
